type,organism,conservation_score
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.407008
Non-essential,S. cerevisiae,0.772196
Non-essential,S. cerevisiae,0.4768045
Non-essential,S. cerevisiae,0.559598
Non-essential,S. cerevisiae,0.430392
Non-essential,S. cerevisiae,0.536754
Non-essential,S. cerevisiae,0.5079725
Non-essential,S. cerevisiae,0.6188105
Non-essential,S. cerevisiae,0.7749835
Non-essential,S. cerevisiae,0.8066005
Non-essential,S. cerevisiae,0.561623
Non-essential,S. cerevisiae,0.457276
Non-essential,S. cerevisiae,0.462865
Non-essential,S. cerevisiae,0.746581
Non-essential,S. cerevisiae,0.57952
Non-essential,S. cerevisiae,0.5042365
Non-essential,S. cerevisiae,0.513303
Non-essential,S. cerevisiae,0.375074
Non-essential,S. cerevisiae,0.459411
Non-essential,S. cerevisiae,0.616426
Non-essential,S. cerevisiae,0.4107435
Non-essential,S. cerevisiae,0.5139445
Non-essential,S. cerevisiae,0.5020425
Non-essential,S. cerevisiae,0.6197615
Non-essential,S. cerevisiae,0.469803
Non-essential,S. cerevisiae,0.565891
Non-essential,S. cerevisiae,0.611797
Non-essential,S. cerevisiae,0.564382
Non-essential,S. cerevisiae,0.675897
Non-essential,S. cerevisiae,0.669175
Non-essential,S. cerevisiae,0.590203
Non-essential,S. cerevisiae,0.52694
Non-essential,S. cerevisiae,0.463939
Non-essential,S. cerevisiae,0.446872
Non-essential,S. cerevisiae,0.4758275
Non-essential,S. cerevisiae,0.5657535
Non-essential,S. cerevisiae,0.499622
Non-essential,S. cerevisiae,0.4267265
Non-essential,S. cerevisiae,0.406493
Non-essential,S. cerevisiae,0.540061
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.469404
Non-essential,S. cerevisiae,0.405998
Non-essential,S. cerevisiae,0.503544
Non-essential,S. cerevisiae,0.384138
Non-essential,S. cerevisiae,0.6196595
Non-essential,S. cerevisiae,0.524827
Non-essential,S. cerevisiae,0.582147
Non-essential,S. cerevisiae,0.403807
Non-essential,S. cerevisiae,0.449851
Non-essential,S. cerevisiae,0.5487635
Non-essential,S. cerevisiae,0.4625145
Non-essential,S. cerevisiae,0.4708575
Non-essential,S. cerevisiae,0.560631
Non-essential,S. cerevisiae,0.524129
Non-essential,S. cerevisiae,0.4394795
Non-essential,S. cerevisiae,0.45804
Non-essential,S. cerevisiae,0.59731
Non-essential,S. cerevisiae,0.6504465
Non-essential,S. cerevisiae,0.6170655
Non-essential,S. cerevisiae,0.410462
Non-essential,S. cerevisiae,0.494563
Non-essential,S. cerevisiae,0.412417
Non-essential,S. cerevisiae,0.426872
Non-essential,S. cerevisiae,0.396981
Non-essential,S. cerevisiae,0.507387
Non-essential,S. cerevisiae,0.5962455
Non-essential,S. cerevisiae,0.563225
Non-essential,S. cerevisiae,0.536546
Non-essential,S. cerevisiae,0.507143
Non-essential,S. cerevisiae,0.385016
Non-essential,S. cerevisiae,0.615807
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.55333
Non-essential,S. cerevisiae,0.321485
Non-essential,S. cerevisiae,0.4920405
Non-essential,S. cerevisiae,0.4719875
Non-essential,S. cerevisiae,0.6819705
Non-essential,S. cerevisiae,0.47386
Non-essential,S. cerevisiae,0.697445
Non-essential,S. cerevisiae,0.599807
Non-essential,S. cerevisiae,0.5970425
Non-essential,S. cerevisiae,0.407749
Non-essential,S. cerevisiae,0.537683
Non-essential,S. cerevisiae,0.559742
Non-essential,S. cerevisiae,0.437723
Non-essential,S. cerevisiae,0.6457325
Non-essential,S. cerevisiae,0.466697
Non-essential,S. cerevisiae,0.521667
Non-essential,S. cerevisiae,0.706484
Non-essential,S. cerevisiae,0.4756
Non-essential,S. cerevisiae,0.466822
Non-essential,S. cerevisiae,0.647392
Non-essential,S. cerevisiae,0.405539
Non-essential,S. cerevisiae,0.504199
Non-essential,S. cerevisiae,0.714354
Non-essential,S. cerevisiae,0.521629
Non-essential,S. cerevisiae,0.482378
Non-essential,S. cerevisiae,0.477664
Non-essential,S. cerevisiae,0.426943
Non-essential,S. cerevisiae,0.564095
Non-essential,S. cerevisiae,0.642304
Non-essential,S. cerevisiae,0.367531
Non-essential,S. cerevisiae,0.534724
Non-essential,S. cerevisiae,0.4221925
Non-essential,S. cerevisiae,0.411363
Non-essential,S. cerevisiae,0.515882
Non-essential,S. cerevisiae,0.449666
Non-essential,S. cerevisiae,0.339443
Non-essential,S. cerevisiae,0.504742
Non-essential,S. cerevisiae,0.501601
Non-essential,S. cerevisiae,0.5829645
Non-essential,S. cerevisiae,0.626822
Non-essential,S. cerevisiae,0.411692
Non-essential,S. cerevisiae,0.429136
Non-essential,S. cerevisiae,0.535014
Non-essential,S. cerevisiae,0.446564
Non-essential,S. cerevisiae,0.729592
Non-essential,S. cerevisiae,0.715794
Non-essential,S. cerevisiae,0.715794
Non-essential,S. cerevisiae,0.441063
Non-essential,S. cerevisiae,0.803161
Non-essential,S. cerevisiae,0.40886
Non-essential,S. cerevisiae,0.521048
Non-essential,S. cerevisiae,0.3838075
Non-essential,S. cerevisiae,0.763332
Non-essential,S. cerevisiae,0.467151
Non-essential,S. cerevisiae,0.800307
Non-essential,S. cerevisiae,0.565208
Non-essential,S. cerevisiae,0.757498
Non-essential,S. cerevisiae,0.684109
Non-essential,S. cerevisiae,0.3594295
Non-essential,S. cerevisiae,0.352297
Non-essential,S. cerevisiae,0.453037
Non-essential,S. cerevisiae,0.8309245
Non-essential,S. cerevisiae,0.492454
Non-essential,S. cerevisiae,0.401444
Non-essential,S. cerevisiae,0.628082
Non-essential,S. cerevisiae,0.5006375
Non-essential,S. cerevisiae,0.556693
Non-essential,S. cerevisiae,0.4363995
Non-essential,S. cerevisiae,0.7080725
Non-essential,S. cerevisiae,0.4538755
Non-essential,S. cerevisiae,0.406736
Non-essential,S. cerevisiae,0.7195055
Non-essential,S. cerevisiae,0.42592
Non-essential,S. cerevisiae,0.769443
Non-essential,S. cerevisiae,0.638315
Non-essential,S. cerevisiae,0.4308475
Non-essential,S. cerevisiae,0.644266
Non-essential,S. cerevisiae,0.454242
Non-essential,S. cerevisiae,0.4178525
Non-essential,S. cerevisiae,0.676556
Non-essential,S. cerevisiae,0.399426
Non-essential,S. cerevisiae,0.456632
Non-essential,S. cerevisiae,0.541705
Non-essential,S. cerevisiae,0.554344
Non-essential,S. cerevisiae,0.409443
Non-essential,S. cerevisiae,0.356044
Non-essential,S. cerevisiae,0.570379
Non-essential,S. cerevisiae,0.628211
Non-essential,S. cerevisiae,0.744894
Non-essential,S. cerevisiae,0.422132
Non-essential,S. cerevisiae,0.797963
Non-essential,S. cerevisiae,0.634467
Non-essential,S. cerevisiae,0.5673
Non-essential,S. cerevisiae,0.576187
Non-essential,S. cerevisiae,0.516107
Non-essential,S. cerevisiae,0.574899
Non-essential,S. cerevisiae,0.5878315
Non-essential,S. cerevisiae,0.5120325
Non-essential,S. cerevisiae,0.630966
Non-essential,S. cerevisiae,0.4046905
Non-essential,S. cerevisiae,0.6967035
Non-essential,S. cerevisiae,0.597202
Non-essential,S. cerevisiae,0.506899
Non-essential,S. cerevisiae,0.5808145
Non-essential,S. cerevisiae,0.604769
Non-essential,S. cerevisiae,0.515713
Non-essential,S. cerevisiae,0.508996
Non-essential,S. cerevisiae,0.495155
Non-essential,S. cerevisiae,0.362064
Non-essential,S. cerevisiae,0.6731425
Non-essential,S. cerevisiae,0.789167
Non-essential,S. cerevisiae,0.6422645
Non-essential,S. cerevisiae,0.4817655
Non-essential,S. cerevisiae,0.3907955
Non-essential,S. cerevisiae,0.595105
Non-essential,S. cerevisiae,0.617948
Non-essential,S. cerevisiae,0.6837895
Non-essential,S. cerevisiae,0.6578675
Non-essential,S. cerevisiae,0.659161
Non-essential,S. cerevisiae,0.509295
Non-essential,S. cerevisiae,0.411419
Non-essential,S. cerevisiae,0.5361195
Non-essential,S. cerevisiae,0.520022
Non-essential,S. cerevisiae,0.39813
Non-essential,S. cerevisiae,0.579796
Non-essential,S. cerevisiae,0.423874
Non-essential,S. cerevisiae,0.425117
Non-essential,S. cerevisiae,0.706983
Non-essential,S. cerevisiae,0.639521
Non-essential,S. cerevisiae,0.726832
Non-essential,S. cerevisiae,0.456468
Non-essential,S. cerevisiae,0.776835
Non-essential,S. cerevisiae,0.531419
Non-essential,S. cerevisiae,0.521158
Non-essential,S. cerevisiae,0.5699465
Non-essential,S. cerevisiae,0.457193
Non-essential,S. cerevisiae,0.501728
Non-essential,S. cerevisiae,0.697961
Non-essential,S. cerevisiae,0.4514805
Non-essential,S. cerevisiae,0.7973235
Non-essential,S. cerevisiae,0.531931
Non-essential,S. cerevisiae,0.626136
Non-essential,S. cerevisiae,0.38287
Non-essential,S. cerevisiae,0.7137985
Non-essential,S. cerevisiae,0.532692
Non-essential,S. cerevisiae,0.5531155
Non-essential,S. cerevisiae,0.7803265
Non-essential,S. cerevisiae,0.5697995
Non-essential,S. cerevisiae,0.583025
Non-essential,S. cerevisiae,0.648276
Non-essential,S. cerevisiae,0.458462
Non-essential,S. cerevisiae,0.6455965
Non-essential,S. cerevisiae,0.522547
Non-essential,S. cerevisiae,0.538696
Non-essential,S. cerevisiae,0.6199885
Non-essential,S. cerevisiae,0.6462865
Non-essential,S. cerevisiae,0.769474
Non-essential,S. cerevisiae,0.6329485
Non-essential,S. cerevisiae,0.327693
Non-essential,S. cerevisiae,0.78627
Non-essential,S. cerevisiae,0.5626665
Non-essential,S. cerevisiae,0.792883
Non-essential,S. cerevisiae,0.4492525
Non-essential,S. cerevisiae,0.644499
Non-essential,S. cerevisiae,0.341471
Non-essential,S. cerevisiae,0.559665
Non-essential,S. cerevisiae,0.66058
Non-essential,S. cerevisiae,0.600861
Non-essential,S. cerevisiae,0.574292
Non-essential,S. cerevisiae,0.616536
Non-essential,S. cerevisiae,0.681526
Non-essential,S. cerevisiae,0.603521
Non-essential,S. cerevisiae,0.462482
Non-essential,S. cerevisiae,0.6112815
Non-essential,S. cerevisiae,0.512069
Non-essential,S. cerevisiae,0.521662
Non-essential,S. cerevisiae,0.705292
Non-essential,S. cerevisiae,0.360424
Non-essential,S. cerevisiae,0.614592
Non-essential,S. cerevisiae,0.696158
Non-essential,S. cerevisiae,0.3454405
Non-essential,S. cerevisiae,0.516014
Non-essential,S. cerevisiae,0.533493
Non-essential,S. cerevisiae,0.671896
Non-essential,S. cerevisiae,0.5700935
Non-essential,S. cerevisiae,0.6535865
Non-essential,S. cerevisiae,0.545326
Non-essential,S. cerevisiae,0.680829
Non-essential,S. cerevisiae,0.575991
Non-essential,S. cerevisiae,0.7355535
Non-essential,S. cerevisiae,0.58979
Non-essential,S. cerevisiae,0.7171985
Non-essential,S. cerevisiae,0.4399205
Non-essential,S. cerevisiae,0.392117
Non-essential,S. cerevisiae,0.5167415
Non-essential,S. cerevisiae,0.780372
Non-essential,S. cerevisiae,0.821124
Non-essential,S. cerevisiae,0.450629
Non-essential,S. cerevisiae,0.3785655
Non-essential,S. cerevisiae,0.649226
Non-essential,S. cerevisiae,0.643964
Non-essential,S. cerevisiae,0.450571
Non-essential,S. cerevisiae,0.450571
Non-essential,S. cerevisiae,0.512953
Non-essential,S. cerevisiae,0.516332
Non-essential,S. cerevisiae,0.569214
Non-essential,S. cerevisiae,0.601508
Non-essential,S. cerevisiae,0.425799
Non-essential,S. cerevisiae,0.503473
Non-essential,S. cerevisiae,0.64675
Non-essential,S. cerevisiae,0.716087
Non-essential,S. cerevisiae,0.5648705
Non-essential,S. cerevisiae,0.715349
Non-essential,S. cerevisiae,0.6373015
Non-essential,S. cerevisiae,0.7311685
Non-essential,S. cerevisiae,0.751364
Non-essential,S. cerevisiae,0.554508
Non-essential,S. cerevisiae,0.639101
Non-essential,S. cerevisiae,0.6373015
Non-essential,S. cerevisiae,0.6373015
Non-essential,S. cerevisiae,0.627856
Non-essential,S. cerevisiae,0.530002
Non-essential,S. cerevisiae,0.5063645
Non-essential,S. cerevisiae,0.782523
Non-essential,S. cerevisiae,0.72169
Non-essential,S. cerevisiae,0.572339
Non-essential,S. cerevisiae,0.557441
Non-essential,S. cerevisiae,0.709498
Non-essential,S. cerevisiae,0.67882
Non-essential,S. cerevisiae,0.497251
Non-essential,S. cerevisiae,0.765524
Non-essential,S. cerevisiae,0.643025
Non-essential,S. cerevisiae,0.405065
Non-essential,S. cerevisiae,0.7125085
Non-essential,S. cerevisiae,0.3643135
Non-essential,S. cerevisiae,0.614336
Non-essential,S. cerevisiae,0.817745
Non-essential,S. cerevisiae,0.4976475
Non-essential,S. cerevisiae,0.724119
Non-essential,S. cerevisiae,0.536062
Non-essential,S. cerevisiae,0.765403
Non-essential,S. cerevisiae,0.696187
Non-essential,S. cerevisiae,0.6795285
Non-essential,S. cerevisiae,0.4833725
Non-essential,S. cerevisiae,0.3842965
Non-essential,S. cerevisiae,0.597042
Non-essential,S. cerevisiae,0.7195575
Non-essential,S. cerevisiae,0.756855
Non-essential,S. cerevisiae,0.5274805
Non-essential,S. cerevisiae,0.517638
Non-essential,S. cerevisiae,0.7672975
Non-essential,S. cerevisiae,0.785562
Non-essential,S. cerevisiae,0.530311
Non-essential,S. cerevisiae,0.7425355
Non-essential,S. cerevisiae,0.5380295
Non-essential,S. cerevisiae,0.626136
Non-essential,S. cerevisiae,0.451443
Non-essential,S. cerevisiae,0.4560075
Non-essential,S. cerevisiae,0.6374965
Non-essential,S. cerevisiae,0.54066
Non-essential,S. cerevisiae,0.4411965
Non-essential,S. cerevisiae,0.515819
Non-essential,S. cerevisiae,0.490178
Non-essential,S. cerevisiae,0.509047
Non-essential,S. cerevisiae,0.474412
Non-essential,S. cerevisiae,0.7982825
Non-essential,S. cerevisiae,0.5595625
Non-essential,S. cerevisiae,0.558639
Non-essential,S. cerevisiae,0.416957
Non-essential,S. cerevisiae,0.760697
Non-essential,S. cerevisiae,0.5339
Non-essential,S. cerevisiae,0.735999
Non-essential,S. cerevisiae,0.4189685
Non-essential,S. cerevisiae,0.530358
Non-essential,S. cerevisiae,0.4701065
Non-essential,S. cerevisiae,0.447412
Non-essential,S. cerevisiae,0.777109
Non-essential,S. cerevisiae,0.4209415
Non-essential,S. cerevisiae,0.4809085
Non-essential,S. cerevisiae,0.484943
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.406691
Non-essential,S. cerevisiae,0.468827
Non-essential,S. cerevisiae,0.629548
Non-essential,S. cerevisiae,0.4529735
Non-essential,S. cerevisiae,0.5315145
Non-essential,S. cerevisiae,0.436558
Non-essential,S. cerevisiae,0.6738665
Non-essential,S. cerevisiae,0.4987425
Non-essential,S. cerevisiae,0.58456
Non-essential,S. cerevisiae,0.427491
Non-essential,S. cerevisiae,0.550433
Non-essential,S. cerevisiae,0.503002
Non-essential,S. cerevisiae,0.437897
Non-essential,S. cerevisiae,0.418058
Non-essential,S. cerevisiae,0.661112
Non-essential,S. cerevisiae,0.6923345
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.485901
Non-essential,S. cerevisiae,0.457885
Non-essential,S. cerevisiae,0.583217
Non-essential,S. cerevisiae,0.6383235
Non-essential,S. cerevisiae,0.602047
Non-essential,S. cerevisiae,0.375233
Non-essential,S. cerevisiae,0.514908
Non-essential,S. cerevisiae,0.651607
Non-essential,S. cerevisiae,0.369182
Non-essential,S. cerevisiae,0.6749055
Non-essential,S. cerevisiae,0.4772
Non-essential,S. cerevisiae,0.4971745
Non-essential,S. cerevisiae,0.7729805
Non-essential,S. cerevisiae,0.754918
Non-essential,S. cerevisiae,0.7299385
Non-essential,S. cerevisiae,0.4407005
Non-essential,S. cerevisiae,0.6842695
Non-essential,S. cerevisiae,0.396212
Non-essential,S. cerevisiae,0.485579
Non-essential,S. cerevisiae,0.511115
Non-essential,S. cerevisiae,0.503798
Non-essential,S. cerevisiae,0.756762
Non-essential,S. cerevisiae,0.5570775
Non-essential,S. cerevisiae,0.551016
Non-essential,S. cerevisiae,0.465429
Non-essential,S. cerevisiae,0.612713
Non-essential,S. cerevisiae,0.389968
Non-essential,S. cerevisiae,0.7744245
Non-essential,S. cerevisiae,0.6504465
Non-essential,S. cerevisiae,0.683892
Non-essential,S. cerevisiae,0.372416
Non-essential,S. cerevisiae,0.606999
Non-essential,S. cerevisiae,0.601499
Non-essential,S. cerevisiae,0.729717
Non-essential,S. cerevisiae,0.7273225
Non-essential,S. cerevisiae,0.821192
Non-essential,S. cerevisiae,0.507774
Non-essential,S. cerevisiae,0.443398
Non-essential,S. cerevisiae,0.4354545
Non-essential,S. cerevisiae,0.397866
Non-essential,S. cerevisiae,0.6299505
Non-essential,S. cerevisiae,0.606404
Non-essential,S. cerevisiae,0.457448
Non-essential,S. cerevisiae,0.4804445
Non-essential,S. cerevisiae,0.6388025
Non-essential,S. cerevisiae,0.610683
Non-essential,S. cerevisiae,0.51376
Non-essential,S. cerevisiae,0.556695
Non-essential,S. cerevisiae,0.628757
Non-essential,S. cerevisiae,0.422776
Non-essential,S. cerevisiae,0.4888725
Non-essential,S. cerevisiae,0.6646235
Non-essential,S. cerevisiae,0.492651
Non-essential,S. cerevisiae,0.416157
Non-essential,S. cerevisiae,0.4460435
Non-essential,S. cerevisiae,0.636703
Non-essential,S. cerevisiae,0.440729
Non-essential,S. cerevisiae,0.5792485
Non-essential,S. cerevisiae,0.529924
Non-essential,S. cerevisiae,0.6047575
Non-essential,S. cerevisiae,0.567133
Non-essential,S. cerevisiae,0.593837
Non-essential,S. cerevisiae,0.6431515
Non-essential,S. cerevisiae,0.456944
Non-essential,S. cerevisiae,0.457131
Non-essential,S. cerevisiae,0.714055
Non-essential,S. cerevisiae,0.589316
Non-essential,S. cerevisiae,0.490743
Non-essential,S. cerevisiae,0.610415
Non-essential,S. cerevisiae,0.520646
Non-essential,S. cerevisiae,0.627817
Non-essential,S. cerevisiae,0.749877
Non-essential,S. cerevisiae,0.3067955
Non-essential,S. cerevisiae,0.45919
Non-essential,S. cerevisiae,0.479543
Non-essential,S. cerevisiae,0.498818
Non-essential,S. cerevisiae,0.607295
Non-essential,S. cerevisiae,0.481917
Non-essential,S. cerevisiae,0.396107
Non-essential,S. cerevisiae,0.676374
Non-essential,S. cerevisiae,0.517936
Non-essential,S. cerevisiae,0.6841455
Non-essential,S. cerevisiae,0.543489
Non-essential,S. cerevisiae,0.4108155
Non-essential,S. cerevisiae,0.7497635
Non-essential,S. cerevisiae,0.6101635
Non-essential,S. cerevisiae,0.796241
Non-essential,S. cerevisiae,0.8039005
Non-essential,S. cerevisiae,0.5343835
Non-essential,S. cerevisiae,0.4524155
Non-essential,S. cerevisiae,0.535567
Non-essential,S. cerevisiae,0.4512785
Non-essential,S. cerevisiae,0.4179835
Non-essential,S. cerevisiae,0.698102
Non-essential,S. cerevisiae,0.463653
Non-essential,S. cerevisiae,0.4866885
Non-essential,S. cerevisiae,0.675963
Non-essential,S. cerevisiae,0.580724
Non-essential,S. cerevisiae,0.5626595
Non-essential,S. cerevisiae,0.6449125
Non-essential,S. cerevisiae,0.7099445
Non-essential,S. cerevisiae,0.57171
Non-essential,S. cerevisiae,0.643428
Non-essential,S. cerevisiae,0.355339
Non-essential,S. cerevisiae,0.404379
Non-essential,S. cerevisiae,0.5978835
Non-essential,S. cerevisiae,0.720421
Non-essential,S. cerevisiae,0.5062575
Non-essential,S. cerevisiae,0.669514
Non-essential,S. cerevisiae,0.4598475
Non-essential,S. cerevisiae,0.461133
Non-essential,S. cerevisiae,0.7177355
Non-essential,S. cerevisiae,0.3562615
Non-essential,S. cerevisiae,0.4482695
Non-essential,S. cerevisiae,0.642969
Non-essential,S. cerevisiae,0.349416
Non-essential,S. cerevisiae,0.478555
Non-essential,S. cerevisiae,0.3794915
Non-essential,S. cerevisiae,0.3030335
Non-essential,S. cerevisiae,0.724655
Non-essential,S. cerevisiae,0.545773
Non-essential,S. cerevisiae,0.510867
Non-essential,S. cerevisiae,0.7370795
Non-essential,S. cerevisiae,0.584742
Non-essential,S. cerevisiae,0.4704375
Non-essential,S. cerevisiae,0.4777905
Non-essential,S. cerevisiae,0.414092
Non-essential,S. cerevisiae,0.596287
Non-essential,S. cerevisiae,0.561858
Non-essential,S. cerevisiae,0.509295
Non-essential,S. cerevisiae,0.570606
Non-essential,S. cerevisiae,0.4682455
Non-essential,S. cerevisiae,0.422698
Non-essential,S. cerevisiae,0.570552
Non-essential,S. cerevisiae,0.69418
Non-essential,S. cerevisiae,0.301311
Non-essential,S. cerevisiae,0.5768205
Non-essential,S. cerevisiae,0.434348
Non-essential,S. cerevisiae,0.784932
Non-essential,S. cerevisiae,0.582032
Non-essential,S. cerevisiae,0.3658
Non-essential,S. cerevisiae,0.741741
Non-essential,S. cerevisiae,0.7752845
Non-essential,S. cerevisiae,0.496907
Non-essential,S. cerevisiae,0.4981785
Non-essential,S. cerevisiae,0.533498
Non-essential,S. cerevisiae,0.72281
Non-essential,S. cerevisiae,0.406238
Non-essential,S. cerevisiae,0.74187
Non-essential,S. cerevisiae,0.655281
Non-essential,S. cerevisiae,0.6810975
Non-essential,S. cerevisiae,0.422764
Non-essential,S. cerevisiae,0.728336
Non-essential,S. cerevisiae,0.490019
Non-essential,S. cerevisiae,0.4267575
Non-essential,S. cerevisiae,0.492673
Non-essential,S. cerevisiae,0.629022
Non-essential,S. cerevisiae,0.566087
Non-essential,S. cerevisiae,0.324939
Non-essential,S. cerevisiae,0.682645
Non-essential,S. cerevisiae,0.6983935
Non-essential,S. cerevisiae,0.402377
Non-essential,S. cerevisiae,0.480973
Non-essential,S. cerevisiae,0.550284
Non-essential,S. cerevisiae,0.714111
Non-essential,S. cerevisiae,0.590471
Non-essential,S. cerevisiae,0.579501
Non-essential,S. cerevisiae,0.7383565
Non-essential,S. cerevisiae,0.5090925
Non-essential,S. cerevisiae,0.454178
Non-essential,S. cerevisiae,0.541426
Non-essential,S. cerevisiae,0.441778
Non-essential,S. cerevisiae,0.636265
Non-essential,S. cerevisiae,0.700942
Non-essential,S. cerevisiae,0.755284
Non-essential,S. cerevisiae,0.635177
Non-essential,S. cerevisiae,0.501351
Non-essential,S. cerevisiae,0.4763205
Non-essential,S. cerevisiae,0.686857
Non-essential,S. cerevisiae,0.391783
Non-essential,S. cerevisiae,0.662768
Non-essential,S. cerevisiae,0.402796
Non-essential,S. cerevisiae,0.433626
Non-essential,S. cerevisiae,0.384808
Non-essential,S. cerevisiae,0.591582
Non-essential,S. cerevisiae,0.592913
Non-essential,S. cerevisiae,0.4723525
Non-essential,S. cerevisiae,0.6086355
Non-essential,S. cerevisiae,0.5151855
Non-essential,S. cerevisiae,0.402009
Non-essential,S. cerevisiae,0.5829945
Non-essential,S. cerevisiae,0.522852
Non-essential,S. cerevisiae,0.42794
Non-essential,S. cerevisiae,0.751757
Non-essential,S. cerevisiae,0.7650405
Non-essential,S. cerevisiae,0.3509825
Non-essential,S. cerevisiae,0.462534
Non-essential,S. cerevisiae,0.418453
Non-essential,S. cerevisiae,0.588524
Non-essential,S. cerevisiae,0.509295
Non-essential,S. cerevisiae,0.759113
Non-essential,S. cerevisiae,0.485044
Non-essential,S. cerevisiae,0.39082
Non-essential,S. cerevisiae,0.455489
Non-essential,S. cerevisiae,0.4281205
Non-essential,S. cerevisiae,0.686618
Non-essential,S. cerevisiae,0.502082
Non-essential,S. cerevisiae,0.4436115
Non-essential,S. cerevisiae,0.682858
Non-essential,S. cerevisiae,0.78372
Non-essential,S. cerevisiae,0.530999
Non-essential,S. cerevisiae,0.378966
Non-essential,S. cerevisiae,0.400874
Non-essential,S. cerevisiae,0.467574
Non-essential,S. cerevisiae,0.4886695
Non-essential,S. cerevisiae,0.4701065
Non-essential,S. cerevisiae,0.5664685
Non-essential,S. cerevisiae,0.489832
Non-essential,S. cerevisiae,0.6820015
Non-essential,S. cerevisiae,0.511761
Non-essential,S. cerevisiae,0.594019
Non-essential,S. cerevisiae,0.754181
Non-essential,S. cerevisiae,0.602478
Non-essential,S. cerevisiae,0.5329985
Non-essential,S. cerevisiae,0.727455
Non-essential,S. cerevisiae,0.5029775
Non-essential,S. cerevisiae,0.592383
Non-essential,S. cerevisiae,0.4209415
Non-essential,S. cerevisiae,0.501351
Non-essential,S. cerevisiae,0.6782675
Non-essential,S. cerevisiae,0.617122
Non-essential,S. cerevisiae,0.465852
Non-essential,S. cerevisiae,0.574005
Non-essential,S. cerevisiae,0.695675
Non-essential,S. cerevisiae,0.575991
Non-essential,S. cerevisiae,0.4725795
Non-essential,S. cerevisiae,0.7171985
Non-essential,S. cerevisiae,0.7236245
Non-essential,S. cerevisiae,0.425045
Non-essential,S. cerevisiae,0.417301
Non-essential,S. cerevisiae,0.515879
Non-essential,S. cerevisiae,0.504662
Non-essential,S. cerevisiae,0.6063455
Non-essential,S. cerevisiae,0.618682
Non-essential,S. cerevisiae,0.750811
Non-essential,S. cerevisiae,0.399248
Non-essential,S. cerevisiae,0.593275
Non-essential,S. cerevisiae,0.496571
Non-essential,S. cerevisiae,0.4446475
Non-essential,S. cerevisiae,0.3751995
Non-essential,S. cerevisiae,0.38139
Non-essential,S. cerevisiae,0.535567
Non-essential,S. cerevisiae,0.493296
Non-essential,S. cerevisiae,0.489889
Non-essential,S. cerevisiae,0.6982865
Non-essential,S. cerevisiae,0.518396
Non-essential,S. cerevisiae,0.416591
Non-essential,S. cerevisiae,0.555841
Non-essential,S. cerevisiae,0.430945
Non-essential,S. cerevisiae,0.439544
Non-essential,S. cerevisiae,0.5354265
Non-essential,S. cerevisiae,0.4318815
Non-essential,S. cerevisiae,0.340264
Non-essential,S. cerevisiae,0.413644
Non-essential,S. cerevisiae,0.464343
Non-essential,S. cerevisiae,0.545161
Non-essential,S. cerevisiae,0.6449125
Non-essential,S. cerevisiae,0.474082
Non-essential,S. cerevisiae,0.5970535
Non-essential,S. cerevisiae,0.613499
Non-essential,S. cerevisiae,0.462482
Non-essential,S. cerevisiae,0.65246
Non-essential,S. cerevisiae,0.5693025
Non-essential,S. cerevisiae,0.710277
Non-essential,S. cerevisiae,0.6227815
Non-essential,S. cerevisiae,0.4585135
Non-essential,S. cerevisiae,0.526748
Non-essential,S. cerevisiae,0.418801
Non-essential,S. cerevisiae,0.550953
Non-essential,S. cerevisiae,0.567786
Non-essential,S. cerevisiae,0.741275
Non-essential,S. cerevisiae,0.6875445
Non-essential,S. cerevisiae,0.302674
Non-essential,S. cerevisiae,0.564374
Non-essential,S. cerevisiae,0.462721
Non-essential,S. cerevisiae,0.509267
Non-essential,S. cerevisiae,0.670927
Non-essential,S. cerevisiae,0.70222
Non-essential,S. cerevisiae,0.550312
Non-essential,S. cerevisiae,0.810741
Non-essential,S. cerevisiae,0.449259
Non-essential,S. cerevisiae,0.724473
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.6468045
Non-essential,S. cerevisiae,0.588794
Non-essential,S. cerevisiae,0.527463
Non-essential,S. cerevisiae,0.48638
Non-essential,S. cerevisiae,0.725401
Non-essential,S. cerevisiae,0.772275
Non-essential,S. cerevisiae,0.5161225
Non-essential,S. cerevisiae,0.684422
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.314537
Non-essential,S. cerevisiae,0.716945
Non-essential,S. cerevisiae,0.713462
Non-essential,S. cerevisiae,0.462558
Non-essential,S. cerevisiae,0.462558
Non-essential,S. cerevisiae,0.74184
Non-essential,S. cerevisiae,0.3779855
Non-essential,S. cerevisiae,0.5365835
Non-essential,S. cerevisiae,0.4600255
Non-essential,S. cerevisiae,0.4803685
Non-essential,S. cerevisiae,0.574517
Non-essential,S. cerevisiae,0.659953
Non-essential,S. cerevisiae,0.486091
Non-essential,S. cerevisiae,0.464006
